cell,patient,predict
mDCs,SUB118169,14.5865519
mDCs,SUB118170,112.1978604
mDCs,SUB118171,296.3684317
mDCs,SUB118174,128.2754628
mDCs,SUB118176,140.5223482
mDCs,SUB118183,225.0573583
Naive B cell,SUB118148,1093.535893
Naive B cell,SUB118151,745.9119003
Naive B cell,SUB118153,776.6732189
Naive B cell,SUB118155,448.2824632
Naive B cell,SUB118156,447.0464339
Naive B cell,SUB118157,670.3074716
Naive B cell,SUB118158,744.8745846
Naive B cell,SUB118161,639.0860993
Naive B cell,SUB118164,358.6957961
Naive B cell,SUB118167,565.3473562
Naive B cell,SUB118168,989.4908342
Naive B cell,SUB118169,0
Naive B cell,SUB118170,2243.746023
Naive B cell,SUB118171,3357.979567
Naive B cell,SUB118174,3898.185567
Naive B cell,SUB118176,1038.237651
Naive B cell,SUB118183,3601.25384
naive T cell,SUB118148,287.7843895
naive T cell,SUB118151,1134.087143
naive T cell,SUB118153,473.667923
naive T cell,SUB118155,421.8617992
naive T cell,SUB118156,389.9646206
naive T cell,SUB118157,889.6005173
naive T cell,SUB118158,635.8120308
naive T cell,SUB118161,540.752965
naive T cell,SUB118164,246.6584606
naive T cell,SUB118167,522.8236523
naive T cell,SUB118168,1276.475292
naive T cell,SUB118169,577.6480293
naive T cell,SUB118170,1109.289047
naive T cell,SUB118171,2254.949898
naive T cell,SUB118174,1758.953819
naive T cell,SUB118176,1666.286499
naive T cell,SUB118183,2808.438667
Neutrophils,SUB118148,9148.490181
Neutrophils,SUB118151,22546.94031
Neutrophils,SUB118153,15202.84166
Neutrophils,SUB118155,10647.09813
Neutrophils,SUB118156,14584.27679
Neutrophils,SUB118157,17727.77557
Neutrophils,SUB118158,15338.14807
Neutrophils,SUB118161,9567.142262
Neutrophils,SUB118164,10003.43759
Neutrophils,SUB118167,12793.91397
Neutrophils,SUB118168,18917.18788
Neutrophils,SUB118169,849.0680103
Neutrophils,SUB118170,11740.96567
Neutrophils,SUB118171,18968.59167
Neutrophils,SUB118174,18074.65588
Neutrophils,SUB118176,11093.05139
Neutrophils,SUB118183,7909.810852
non-Th1/Th17  CD4+ T cell,SUB118148,389.4027964
non-Th1/Th17  CD4+ T cell,SUB118151,321.7225626
non-Th1/Th17  CD4+ T cell,SUB118153,201.9062335
non-Th1/Th17  CD4+ T cell,SUB118155,356.3862988
non-Th1/Th17  CD4+ T cell,SUB118156,406.4187511
non-Th1/Th17  CD4+ T cell,SUB118157,372.2335417
non-Th1/Th17  CD4+ T cell,SUB118158,632.0700575
non-Th1/Th17  CD4+ T cell,SUB118161,587.9907254
non-Th1/Th17  CD4+ T cell,SUB118164,327.2700335
non-Th1/Th17  CD4+ T cell,SUB118167,502.4572015
non-Th1/Th17  CD4+ T cell,SUB118168,324.122129
